15.55	28.65	2
14.9	27.55	2
14.45	28.35	2
14.15	28.8	2
13.75	28.05	2
13.35	28.45	2
13	29.15	2
13.45	27.5	2
13.6	26.5	2
12.8	27.35	2
7.8	13.7	7
8.85	13.35	7
9	12.7	7
9.7	12.1	7
8.05	12.9	7
7.7	13.25	7
6.8	13.2	7
6.6	13.45	7
6.2	12.55	7
5.4	12.85	7
10.15	11	4
10.4	10.55	4
10.9	10	4
11.55	10.2	4
11.75	10.85	4
10.1	8.65	4
11.05	9.1	4
11.85	9.8	4
12.85	10.65	4
12.9	11.7	4
34.05	3.5	3
33.05	3.85	3
32	3.8	3
31.9	4.4	3
31.05	4.75	3
30.4	5.65	3
30.75	6.1	3
30	6.7	3
30.1	7.4	3
29.5	8.15	3
33.25	14.7	6
33	15.15	6
32.95	15.65	6
32.6	16.15	6
32.45	16.75	6
32.65	17.05	6
32.75	17.3	6
31.75	17.2	6
31.7	17.65	6
31	17.5	6
21.3	20.8	1
20.15	20.9	1
19.2	21.35	1
19.1	21.85	1
18.45	22.8	1
18.75	22.95	1
19.4	23	1
19.55	22.25	1
19.8	21.85	1
20.5	21.85	1
5.2	2.15	5
6.35	1.95	5
6.75	2.3	5
5.9	2.4	5
5.4	2.7	5
4.85	2.9	5
4.85	3.35	5
5.15	3.45	5
5.7	3.45	5
6.2	3	5
